District,year,season,temperature_2m_mean,rain_sum
BEED,2003,Rabi,25.33367,1.25
BEED,2003,Summer,32.61409,4.75
BEED,2004,Autumn,23.651516,39.8
BEED,2004,Kharif,25.689682,142.975
BEED,2004,Rabi,25.398027,0.575
BEED,2004,Summer,32.187183,13.900001
BEED,2005,Autumn,23.249434,44.85
BEED,2005,Kharif,26.100872,163.25
BEED,2005,Rabi,24.327497,5.7500005
BEED,2005,Summer,32.47913,5.8
BEED,2006,Autumn,24.277752,21.050001
BEED,2006,Kharif,25.745527,197.225
BEED,2006,Rabi,24.5706,10.349999
BEED,2006,Summer,32.16703,16.55
BEED,2007,Autumn,24.75834,12.150001
BEED,2007,Kharif,25.9398,162.225
BEED,2007,Rabi,25.367104,0
BEED,2007,Summer,32.353897,6.15
BEED,2008,Autumn,24.347813,46
BEED,2008,Kharif,25.969276,159.875
BEED,2008,Rabi,24.34031,7.2750006
BEED,2008,Summer,32.01108,4.4
BEED,2009,Autumn,23.842752,82.3
BEED,2009,Kharif,26.490297,185.90001
BEED,2009,Rabi,25.540756,6.175
BEED,2009,Summer,32.468872,3.1499999
BEED,2010,Autumn,24.189056,56.350002
BEED,2010,Kharif,25.959948,192.3
BEED,2010,Rabi,24.754875,2.8000002
BEED,2010,Summer,33.6904,3.35
BEED,2011,Autumn,25.565367,14.45
BEED,2011,Kharif,25.622913,125.675
BEED,2011,Rabi,24.419945,1.025
BEED,2011,Summer,32.148006,1.9000001
BEED,2012,Autumn,24.203136,66.2
BEED,2012,Kharif,26.67107,82.95
BEED,2012,Rabi,25.14356,0.57500005
BEED,2012,Summer,32.72785,1.1
BEED,2013,Autumn,23.452702,29.3
BEED,2013,Kharif,24.71588,248.575
BEED,2013,Rabi,25.05558,3.2
BEED,2013,Summer,33.00103,3
BEED,2014,Autumn,25.351778,32.199997
BEED,2014,Kharif,26.679026,125.425
BEED,2014,Rabi,23.38958,42.100002
BEED,2014,Summer,31.842918,3.1499999
BEED,2015,Autumn,25.887016,14.5
BEED,2015,Kharif,26.739122,130.025
BEED,2015,Rabi,24.485462,8.325
BEED,2015,Summer,31.800247,27
BEED,2016,Autumn,23.378115,18.65
BEED,2016,Kharif,25.711655,199.4
BEED,2016,Rabi,25.354305,5.3499994
BEED,2016,Summer,33.29046,5.8
BEED,2017,Autumn,23.890888,48.45
BEED,2017,Kharif,26.314363,210.025
BEED,2017,Rabi,24.056559,1.55
BEED,2017,Summer,32.669403,4.35
BEED,2018,Autumn,26.671738,14.650001
BEED,2018,Kharif,26.332256,132.22499
BEED,2018,Rabi,24.279306,1.6
BEED,2018,Summer,33.001106,5.85
BEED,2019,Autumn,24.227676,97.6
BEED,2019,Kharif,26.94988,174.25
BEED,2019,Rabi,24.803913,4.5250015
BEED,2019,Summer,33.60544,0.45000002
BHANDARA,1997,Autumn,24.190691,43.8
BHANDARA,1997,Kharif,27.558039,275.8
BHANDARA,1997,Rabi,22.39162,20.625
BHANDARA,1997,Summer,32.08203,17.499998
BHANDARA,1998,Autumn,23.936516,45.8
BHANDARA,1998,Kharif,27.922832,258.07498
BHANDARA,1998,Rabi,21.54359,26.1
BHANDARA,1998,Summer,34.18239,11.799999
BHANDARA,1999,Autumn,23.584599,18.75
BHANDARA,1999,Kharif,26.581398,337.1
BHANDARA,1999,Rabi,23.069504,6.075
BHANDARA,1999,Summer,34.555412,7.8
BHANDARA,2000,Autumn,25.111153,0.2
BHANDARA,2000,Kharif,26.708118,276.15
BHANDARA,2000,Rabi,22.443514,7.55
BHANDARA,2000,Summer,33.81165,31.849998
BHANDARA,2001,Autumn,24.33294,52.85
BHANDARA,2001,Kharif,26.898373,227.775
BHANDARA,2001,Rabi,23.475061,5.85
BHANDARA,2001,Summer,32.943455,28
BHANDARA,2002,Autumn,24.657932,18.25
BHANDARA,2002,Kharif,27.636929,290.72498
BHANDARA,2002,Rabi,23.982994,3.9750004
BHANDARA,2002,Summer,34.99567,2.9
BHANDARA,2003,Autumn,23.886297,28.95
BHANDARA,2003,Kharif,27.366695,354.35
BHANDARA,2003,Rabi,23.322912,8.15
BHANDARA,2003,Summer,34.531994,1.25
BHANDARA,2004,Autumn,23.702454,13.049999
BHANDARA,2004,Kharif,27.439968,221.32501
BHANDARA,2004,Rabi,23.055428,14.150001
BHANDARA,2004,Summer,34.08146,8.35
BHANDARA,2005,Autumn,23.19393,37.2
BHANDARA,2005,Kharif,28.06263,292.67502
BHANDARA,2005,Rabi,22.702124,35
BHANDARA,2005,Summer,33.271946,4.2
BHANDARA,2006,Autumn,24.853992,12.050001
BHANDARA,2006,Kharif,27.547943,253.79999
BHANDARA,2006,Rabi,23.324005,12.1
BHANDARA,2006,Summer,32.395905,25.2
BHANDARA,2007,Autumn,23.570461,21.5
BHANDARA,2007,Kharif,27.659676,311.9
BHANDARA,2007,Rabi,23.712858,0.875
BHANDARA,2007,Summer,33.79988,4.4500003
BHANDARA,2008,Autumn,24.588898,14.6
BHANDARA,2008,Kharif,26.848595,257.05
BHANDARA,2008,Rabi,23.339918,16.375
BHANDARA,2008,Summer,33.52785,1.85
BHANDARA,2009,Autumn,24.10181,44.899998
BHANDARA,2009,Kharif,28.485165,302.8
BHANDARA,2009,Rabi,24.903316,3.8500001
BHANDARA,2009,Summer,34.546135,2.3999999
BHANDARA,2010,Autumn,25.230156,42.5
BHANDARA,2010,Kharif,27.901838,381.075
BHANDARA,2010,Rabi,23.65346,9.15
BHANDARA,2010,Summer,35.29033,2.4
BHANDARA,2011,Autumn,24.935936,0.7
BHANDARA,2011,Kharif,26.945633,252.20001
BHANDARA,2011,Rabi,23.276255,8.400001
BHANDARA,2011,Summer,32.765335,15.700001
BHANDARA,2012,Autumn,23.499214,60.65
BHANDARA,2012,Kharif,27.365318,350.57498
BHANDARA,2012,Rabi,23.311275,4.65
BHANDARA,2012,Summer,34.693012,2.15
BHANDARA,2013,Autumn,23.271704,98.65001
BHANDARA,2013,Kharif,26.188347,401.325
